ATF	1.0
29	43    
"Type=GenePix Export 3"
"DateTime=2025/02/10 15:21:43"
"Settings=E:\Conboy\2025-02-10\settings\S1-4.14.S4.480.33.Settings.gps"
"GalFile=C:\Documents and Settings\Misha\Desktop\Etsuko_Mice_Array.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=E:\Conboy\2025-02-10\image\s1-4.14.s4.Gain480Power33.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (#1/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=5240, 57320"
"Creator=GenePix Pro 6.1.0.4"
"Scanner=GenePix 4000B [133411]"
"FocusPosition=0"
"Temperature=28.0053"
"LinesAveraged=1"
"Comment="
"PMTGain=480"
"ScanPower=33"
"LaserPower=2.94457"
"Filters=<Empty>"
"ScanRegion=524,5732,1632,6640"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (#1/532)"	"Ratio of Means (#1/532)"	"Median of Ratios (#1/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"Mean of Ratios (#1/532)"	"Ratios SD (#1/532)"	"Rgn Ratio (#1/532)"	"Rgn R2 (#1/532)"	"F532 CV"	"B532 CV"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (#1/532)"	"F532 Total Intensity"	"SNR 532"	"Sum of Means (#1/532)"	"Log Ratio (#1/532)"	"Accession"	"Symbol"
1	1	1	"Positive 1"	"Positive 1"	5390	57440	150	12901	12360	2579	57	60	57	23	100	100	0	0.000	0.000	0.000	12844	12303	1	0.000	0.000	0.000	0.000	20	38	156	860	100	0	0	0	12844	1928138	534.783	12303	Error	"Not Defined"	"Positive 1"
1	2	1	"Positive 1"	"Positive 1"	5790	57430	150	17682	19232	9784	74	86	74	46	100	100	0	0.000	0.000	0.000	17608	19158	2	0.000	0.000	0.000	0.000	50	53	156	972	100	0	0	0	17608	3000240	416.217	19158	Error	"Not Defined"	"Positive 1"
1	3	1	"Positive 2"	"Positive 2"	6210	57410	150	3271	3528	1045	57	59	57	25	100	100	0	0.000	0.000	0.000	3214	3471	3	0.000	0.000	0.000	0.000	29	42	156	894	100	0	0	0	3214	550367	138.760	3471	Error	"Not Defined"	"Positive 2"
1	4	1	"Positive 2"	"Positive 2"	6610	57410	150	4759	4788	1656	64	68	64	28	100	100	0	0.000	0.000	0.000	4695	4724	4	0.000	0.000	0.000	0.000	34	41	156	894	100	0	0	0	4695	746973	168.571	4724	Error	"Not Defined"	"Positive 2"
1	5	1	"Positive 3"	"Positive 3"	6960	57420	140	5567	5686	3550	59	65	59	36	97	96	0	0.000	0.000	0.000	5508	5627	5	0.000	0.000	0.000	0.000	62	55	156	848	100	0	0	0	5508	886944	156.139	5627	Error	"Not Defined"	"Positive 3"
1	6	1	"Positive 3"	"Positive 3"	7370	57430	140	6573	6651	2032	53	57	53	21	100	100	0	0.000	0.000	0.000	6520	6598	6	0.000	0.000	0.000	0.000	30	36	156	884	100	0	0	0	6520	1037610	314.000	6598	Error	"Not Defined"	"Positive 3"
1	7	1	"neg"	"neg"	7780	57420	120	48	51	19	51	53	51	20	15	3	0	0.000	0.000	0.000	-3	0	7	0.000	0.000	0.000	0.000	37	37	120	648	100	-50	0	0	-3	6069	-0.100	0	Error	"Not Defined"	"neg"
1	8	1	"neg"	"neg"	8180	57420	120	47	50	22	50	52	50	19	12	4	0	0.000	0.000	0.000	-3	0	8	0.000	0.000	0.000	0.000	44	36	120	648	100	-50	0	0	-3	6039	-0.105	0	Error	"Not Defined"	"neg"
1	9	1	"6Ckine "	"6Ckine "	8550	57430	160	113	115	38	50	52	50	19	89	75	0	0.000	0.000	0.000	63	65	9	0.000	0.000	0.000	0.000	33	36	208	1110	100	0	0	0	63	23990	3.316	65	Error	"Not Defined"	"6Ckine "
1	10	1	"6Ckine "	"6Ckine "	8950	57420	160	118	120	38	50	52	50	19	90	81	0	0.000	0.000	0.000	68	70	10	0.000	0.000	0.000	0.000	31	36	208	1066	100	0	0	0	68	25033	3.579	70	Error	"Not Defined"	"6Ckine "
1	11	1	"Activin A "	"Activin A "	9370	57410	150	153	162	54	50	52	50	18	96	94	0	0.000	0.000	0.000	103	112	11	0.000	0.000	0.000	0.000	33	34	156	894	100	0	0	0	103	25215	6.111	112	Error	"Not Defined"	"Activin A "
1	12	1	"Activin A "	"Activin A "	9780	57410	150	162	165	54	50	52	50	18	98	96	0	0.000	0.000	0.000	112	115	12	0.000	0.000	0.000	0.000	32	34	156	894	100	0	0	0	112	25700	6.278	115	Error	"Not Defined"	"Activin A "
1	13	1	"Activin C"	"Activin C"	10230	57430	150	101	104	30	52	54	52	19	87	65	0	0.000	0.000	0.000	49	52	13	0.000	0.000	0.000	0.000	28	35	156	972	100	0	0	0	49	16198	2.632	52	Error	"Not Defined"	"Activin C"
1	14	1	"Activin C"	"Activin C"	10620	57430	140	106	105	36	52	55	52	20	82	60	0	0.000	0.000	0.000	54	53	14	0.000	0.000	0.000	0.000	34	36	156	884	100	0	0	0	54	16380	2.500	53	Error	"Not Defined"	"Activin C"
1	15	1	"Activin RIB / ALK-4"	"Activin RIB / ALK-4"	10950	57420	160	115	119	36	51	54	51	21	90	73	0	0.000	0.000	0.000	64	68	15	0.000	0.000	0.000	0.000	30	38	208	1066	100	0	0	0	64	24714	3.095	68	Error	"Not Defined"	"Activin RIB / ALK-4"
1	16	1	"Activin RIB / ALK-4"	"Activin RIB / ALK-4"	11350	57410	160	116	119	41	52	54	52	18	87	76	0	0.000	0.000	0.000	64	67	16	0.000	0.000	0.000	0.000	34	33	208	1028	100	0	0	0	64	24671	3.611	67	Error	"Not Defined"	"Activin RIB / ALK-4"
