ATF	1.0
29	43    
"Type=GenePix Export 3"
"DateTime=2025/02/11 14:15:33"
"Settings=E:\Conboy\2025-02-10\settings\S9-12.83.S11.480.33.Settings.gps"
"GalFile=C:\Documents and Settings\Misha\Desktop\Etsuko_Mice_Array.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=E:\Conboy\2025-02-10\image\s9-12.83.s11.Gain480Power33.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (#1/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=5440, 39080"
"Creator=GenePix Pro 6.1.0.4"
"Scanner=GenePix 4000B [133411]"
"FocusPosition=0"
"Temperature=26.8761"
"LinesAveraged=1"
"Comment="
"PMTGain=480"
"ScanPower=33"
"LaserPower=3.05185"
"Filters=<Empty>"
"ScanRegion=544,3908,1652,4816"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (#1/532)"	"Ratio of Means (#1/532)"	"Median of Ratios (#1/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"Mean of Ratios (#1/532)"	"Ratios SD (#1/532)"	"Rgn Ratio (#1/532)"	"Rgn R2 (#1/532)"	"F532 CV"	"B532 CV"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (#1/532)"	"F532 Total Intensity"	"SNR 532"	"Sum of Means (#1/532)"	"Log Ratio (#1/532)"	"Accession"	"Symbol"
1	1	1	"Positive 1"	"Positive 1"	5570	39210	150	11224	12052	3460	146	153	146	69	100	100	0	0.000	0.000	0.000	11078	11906	1	0.000	0.000	0.000	0.000	28	45	156	833	100	0	0	0	11078	1880151	172.449	11906	Error	"Not Defined"	"Positive 1"
1	2	1	"Positive 1"	"Positive 1"	5970	39210	150	13700	11968	3168	137	143	137	57	100	100	0	0.000	0.000	0.000	13563	11831	2	0.000	0.000	0.000	0.000	26	39	156	1046	100	0	0	0	13563	1867067	207.456	11831	Error	"Not Defined"	"Positive 1"
1	3	1	"Positive 2"	"Positive 2"	6390	39200	160	2681	2972	1079	138	139	138	41	99	98	0	0.000	0.000	0.000	2543	2834	3	0.000	0.000	0.000	0.000	36	29	208	1152	100	0	0	0	2543	618164	69.098	2834	Error	"Not Defined"	"Positive 2"
1	4	1	"Positive 2"	"Positive 2"	6790	39200	160	3125	3385	1342	135	139	135	42	100	100	0	0.000	0.000	0.000	2990	3250	4	0.000	0.000	0.000	0.000	39	30	208	1152	100	0	0	0	2990	704013	77.286	3250	Error	"Not Defined"	"Positive 2"
1	5	1	"Positive 3"	"Positive 3"	7140	39210	150	5371	5369	1492	138	141	138	44	100	100	0	0.000	0.000	0.000	5233	5231	5	0.000	0.000	0.000	0.000	27	31	156	1046	100	0	0	0	5233	837611	118.818	5231	Error	"Not Defined"	"Positive 3"
1	6	1	"Positive 3"	"Positive 3"	7540	39210	140	5990	6396	2186	132	135	132	39	100	100	0	0.000	0.000	0.000	5858	6264	6	0.000	0.000	0.000	0.000	34	28	156	954	100	0	0	0	5858	997822	160.538	6264	Error	"Not Defined"	"Positive 3"
1	7	1	"neg"	"neg"	7950	39200	120	90	98	52	133	134	133	39	4	2	0	0.000	0.000	0.000	-43	-35	7	0.000	0.000	0.000	0.000	53	29	120	706	100	-50	0	0	-43	11791	-0.923	-35	Error	"Not Defined"	"neg"
1	8	1	"neg"	"neg"	8350	39200	120	99	109	63	129	132	129	47	4	4	0	0.000	0.000	0.000	-30	-20	8	0.000	0.000	0.000	0.000	57	35	120	706	100	-50	0	0	-30	13134	-0.489	-20	Error	"Not Defined"	"neg"
1	9	1	"6Ckine "	"6Ckine "	8730	39210	150	246	250	66	133	136	133	40	87	68	0	0.000	0.000	0.000	113	117	9	0.000	0.000	0.000	0.000	26	29	156	1046	100	0	0	0	113	39013	2.850	117	Error	"Not Defined"	"6Ckine "
1	10	1	"6Ckine "	"6Ckine "	9130	39210	150	254	262	72	135	138	135	41	92	72	0	0.000	0.000	0.000	119	127	10	0.000	0.000	0.000	0.000	27	29	156	1046	100	0	0	0	119	40893	3.024	127	Error	"Not Defined"	"6Ckine "
