ATF	1.0
29	43    
"Type=GenePix Export 3"
"DateTime=2025/02/11 12:50:20"
"Settings=E:\Conboy\2025-02-10\settings\S9-12.83.S9.480.33.Settings.gps"
"GalFile=C:\Documents and Settings\Misha\Desktop\Etsuko_Mice_Array.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=E:\Conboy\2025-02-10\image\s9-12.83.s9.Gain480Power33.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (#1/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=5240, 3320"
"Creator=GenePix Pro 6.1.0.4"
"Scanner=GenePix 4000B [133411]"
"FocusPosition=0"
"Temperature=22.9087"
"LinesAveraged=1"
"Comment="
"PMTGain=480"
"ScanPower=33"
"LaserPower=3.34686"
"Filters=<Empty>"
"ScanRegion=524,332,1632,1240"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (#1/532)"	"Ratio of Means (#1/532)"	"Median of Ratios (#1/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"Mean of Ratios (#1/532)"	"Ratios SD (#1/532)"	"Rgn Ratio (#1/532)"	"Rgn R2 (#1/532)"	"F532 CV"	"B532 CV"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (#1/532)"	"F532 Total Intensity"	"SNR 532"	"Sum of Means (#1/532)"	"Log Ratio (#1/532)"	"Accession"	"Symbol"
1	1	1	"Positive 1"	"Positive 1"	5410	3430	150	13808	14411	3962	214	216	214	56	100	100	0	0.000	0.000	0.000	13594	14197	1	0.000	0.000	0.000	0.000	27	25	156	879	100	0	0	0	13594	2248165	253.482	14197	Error	"Not Defined"	"Positive 1"
1	2	1	"Positive 1"	"Positive 1"	5830	3430	150	15294	17027	5494	219	222	219	55	100	100	0	0.000	0.000	0.000	15075	16808	2	0.000	0.000	0.000	0.000	32	24	156	972	100	0	0	0	15075	2656224	305.545	16808	Error	"Not Defined"	"Positive 1"
1	3	1	"Positive 2"	"Positive 2"	6240	3410	150	4220	4435	913	216	218	216	55	100	100	0	0.000	0.000	0.000	4004	4219	3	0.000	0.000	0.000	0.000	20	25	156	894	100	0	0	0	4004	691934	76.673	4219	Error	"Not Defined"	"Positive 2"
1	4	1	"Positive 2"	"Positive 2"	6640	3420	160	4499	4421	1548	221	223	221	56	99	99	0	0.000	0.000	0.000	4278	4200	4	0.000	0.000	0.000	0.000	35	25	208	1066	100	0	0	0	4278	919489	74.964	4200	Error	"Not Defined"	"Positive 2"
1	5	1	"Positive 3"	"Positive 3"	6990	3430	150	7093	7143	1711	208	212	208	55	100	100	0	0.000	0.000	0.000	6885	6935	5	0.000	0.000	0.000	0.000	23	25	156	972	100	0	0	0	6885	1114312	126.018	6935	Error	"Not Defined"	"Positive 3"
1	6	1	"Positive 3"	"Positive 3"	7390	3430	140	7913	8142	2362	194	196	194	53	100	100	0	0.000	0.000	0.000	7719	7948	6	0.000	0.000	0.000	0.000	29	27	156	884	100	0	0	0	7719	1270108	149.925	7948	Error	"Not Defined"	"Positive 3"
1	7	1	"neg"	"neg"	7800	3420	120	99	110	69	193	196	193	56	4	3	0	0.000	0.000	0.000	-94	-83	7	0.000	0.000	0.000	0.000	62	28	120	648	100	-50	0	0	-94	13229	-1.536	-83	Error	"Not Defined"	"neg"
1	8	1	"neg"	"neg"	8200	3420	120	98	121	105	192	195	192	54	2	2	0	0.000	0.000	0.000	-94	-71	8	0.000	0.000	0.000	0.000	86	27	120	648	100	-50	0	0	-94	14542	-1.370	-71	Error	"Not Defined"	"neg"
1	9	1	"6Ckine "	"6Ckine "	8570	3430	150	544	562	137	207	207	207	55	99	99	0	0.000	0.000	0.000	337	355	9	0.000	0.000	0.000	0.000	24	26	156	972	100	0	0	0	337	87666	6.455	355	Error	"Not Defined"	"6Ckine "
1	10	1	"6Ckine "	"6Ckine "	8970	3430	150	557	572	143	208	209	208	56	99	98	0	0.000	0.000	0.000	349	364	10	0.000	0.000	0.000	0.000	25	26	156	972	100	0	0	0	349	89276	6.482	364	Error	"Not Defined"	"6Ckine "
1	11	1	"Activin A "	"Activin A "	9400	3420	140	1107	1207	516	205	214	205	71	100	99	0	0.000	0.000	0.000	902	1002	11	0.000	0.000	0.000	0.000	42	33	156	848	100	0	0	0	902	188334	13.986	1002	Error	"Not Defined"	"Activin A "
1	12	1	"Activin A "	"Activin A "	9800	3410	140	737	813	391	208	214	208	67	98	96	0	0.000	0.000	0.000	529	605	12	0.000	0.000	0.000	0.000	48	31	156	810	100	0	0	0	529	126824	8.940	605	Error	"Not Defined"	"Activin A "
1	13	1	"Activin C"	"Activin C"	10250	3430	140	662	683	186	209	211	209	56	100	98	0	0.000	0.000	0.000	453	474	13	0.000	0.000	0.000	0.000	27	26	156	884	100	0	0	0	453	106544	8.429	474	Error	"Not Defined"	"Activin C"
1	14	1	"Activin C"	"Activin C"	10650	3430	140	766	770	189	201	204	201	54	99	98	0	0.000	0.000	0.000	565	569	14	0.000	0.000	0.000	0.000	24	26	156	884	100	0	0	0	565	120122	10.481	569	Error	"Not Defined"	"Activin C"
1	15	1	"Activin RIB / ALK-4"	"Activin RIB / ALK-4"	10970	3430	150	709	733	173	204	205	204	52	99	99	0	0.000	0.000	0.000	505	529	15	0.000	0.000	0.000	0.000	23	25	156	972	100	0	0	0	505	114379	10.154	529	Error	"Not Defined"	"Activin RIB / ALK-4"
1	16	1	"Activin RIB / ALK-4"	"Activin RIB / ALK-4"	11380	3420	150	737	747	165	200	201	200	56	99	98	0	0.000	0.000	0.000	537	547	16	0.000	0.000	0.000	0.000	22	27	156	934	100	0	0	0	537	116600	9.750	547	Error	"Not Defined"	"Activin RIB / ALK-4"
1	17	1	"Adiponectin / Acrp30"	"Adiponectin / Acrp30"	11810	3440	150	708	738	226	192	197	192	55	100	100	0	0.000	0.000	0.000	516	546	17	0.000	0.000	0.000	0.000	30	27	156	1010	100	0	0	0	516	115196	9.836	546	Error	"Not Defined"	"Adiponectin / Acrp30"
1	18	1	"Adiponectin / Acrp30"	"Adiponectin / Acrp30"	12210	3440	150	826	858	229	195	198	195	58	100	100	0	0.000	0.000	0.000	631	663	18	0.000	0.000	0.000	0.000	26	29	156	1010	100	0	0	0	631	133817	11.379	663	Error	"Not Defined"	"Adiponectin / Acrp30"
