ATF	1.0
29	43    
"Type=GenePix Export 3"
"DateTime=2025/02/11 13:02:20"
"Settings=E:\Conboy\2025-02-10\settings\S9-12.83.S10.480.33.Settings.gps"
"GalFile=C:\Documents and Settings\Misha\Desktop\Etsuko_Mice_Array.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=E:\Conboy\2025-02-10\image\s9-12.83.s10.Gain480Power33.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (#1/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=5220, 21190"
"Creator=GenePix Pro 6.1.0.4"
"Scanner=GenePix 4000B [133411]"
"FocusPosition=0"
"Temperature=24.0684"
"LinesAveraged=1"
"Comment="
"PMTGain=480"
"ScanPower=33"
"LaserPower=3.21739"
"Filters=<Empty>"
"ScanRegion=522,2119,1630,3027"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (#1/532)"	"Ratio of Means (#1/532)"	"Median of Ratios (#1/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"Mean of Ratios (#1/532)"	"Ratios SD (#1/532)"	"Rgn Ratio (#1/532)"	"Rgn R2 (#1/532)"	"F532 CV"	"B532 CV"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (#1/532)"	"F532 Total Intensity"	"SNR 532"	"Sum of Means (#1/532)"	"Log Ratio (#1/532)"	"Accession"	"Symbol"
1	1	1	"Positive 1"	"Positive 1"	5380	21330	140	13572	12774	3396	169	173	169	50	98	98	0	0.000	0.000	0.000	13403	12605	1	0.000	0.000	0.000	0.000	26	28	156	890	100	0	0	0	13403	1992789	252.020	12605	Error	"Not Defined"	"Positive 1"
1	2	1	"Positive 1"	"Positive 1"	5780	21330	140	15131	14736	4498	159	163	159	50	98	98	0	0.000	0.000	0.000	14972	14577	2	0.000	0.000	0.000	0.000	30	30	156	986	100	0	0	0	14972	2298820	291.460	14577	Error	"Not Defined"	"Positive 1"
1	3	1	"Positive 2"	"Positive 2"	6190	21320	150	3585	3627	942	153	168	153	138	98	98	0	0.000	0.000	0.000	3432	3474	3	0.000	0.000	0.000	0.000	25	82	156	1046	100	0	0	0	3432	565747	25.065	3474	Error	"Not Defined"	"Positive 2"
1	4	1	"Positive 2"	"Positive 2"	6590	21320	160	4198	3925	1679	147	148	147	45	93	91	0	0.000	0.000	0.000	4051	3778	4	0.000	0.000	0.000	0.000	42	30	208	1194	100	0	0	0	4051	816351	83.933	3778	Error	"Not Defined"	"Positive 2"
1	5	1	"Positive 3"	"Positive 3"	6950	21330	150	6623	6384	1767	141	143	141	44	100	99	0	0.000	0.000	0.000	6482	6243	5	0.000	0.000	0.000	0.000	27	30	156	1080	100	0	0	0	6482	995902	141.841	6243	Error	"Not Defined"	"Positive 3"
1	6	1	"Positive 3"	"Positive 3"	7350	21330	140	7596	7493	2125	142	146	142	45	99	99	0	0.000	0.000	0.000	7454	7351	6	0.000	0.000	0.000	0.000	28	30	156	986	100	0	0	0	7454	1168933	163.267	7351	Error	"Not Defined"	"Positive 3"
1	7	1	"neg"	"neg"	7760	21330	120	87	95	55	139	143	139	46	5	3	0	0.000	0.000	0.000	-52	-44	7	0.000	0.000	0.000	0.000	57	32	120	756	100	-50	0	0	-52	11384	-1.043	-44	Error	"Not Defined"	"neg"
1	8	1	"neg"	"neg"	8160	21330	120	94	102	48	146	149	146	51	2	1	0	0.000	0.000	0.000	-52	-44	8	0.000	0.000	0.000	0.000	47	34	120	756	100	-50	0	0	-52	12215	-0.922	-44	Error	"Not Defined"	"neg"
1	9	1	"6Ckine "	"6Ckine "	8530	21330	150	245	244	72	149	150	149	45	73	54	0	0.000	0.000	0.000	96	95	9	0.000	0.000	0.000	0.000	29	30	156	1080	100	0	0	0	96	38095	2.089	95	Error	"Not Defined"	"6Ckine "
1	10	1	"6Ckine "	"6Ckine "	8920	21320	150	247	252	82	151	153	151	47	75	50	0	0.000	0.000	0.000	96	101	10	0.000	0.000	0.000	0.000	32	30	156	1046	100	0	0	0	96	39367	2.106	101	Error	"Not Defined"	"6Ckine "
