ATF	1.0
29	43    
"Type=GenePix Export 3"
"DateTime=2025/02/10 16:23:14"
"Settings=E:\Conboy\2025-02-10\settings\S5-8.93.S7.480.33.Settings.gps"
"GalFile=C:\Documents and Settings\Misha\Desktop\Etsuko_Mice_Array.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=E:\Conboy\2025-02-10\image\s5-8.93.s7.Gain480Power33.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (#1/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=5200, 39200"
"Creator=GenePix Pro 6.1.0.4"
"Scanner=GenePix 4000B [133411]"
"FocusPosition=0"
"Temperature=28.7683"
"LinesAveraged=1"
"Comment="
"PMTGain=480"
"ScanPower=33"
"LaserPower=3.23219"
"Filters=<Empty>"
"ScanRegion=520,3920,1628,4828"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (#1/532)"	"Ratio of Means (#1/532)"	"Median of Ratios (#1/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"Mean of Ratios (#1/532)"	"Ratios SD (#1/532)"	"Rgn Ratio (#1/532)"	"Rgn R2 (#1/532)"	"F532 CV"	"B532 CV"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (#1/532)"	"F532 Total Intensity"	"SNR 532"	"Sum of Means (#1/532)"	"Log Ratio (#1/532)"	"Accession"	"Symbol"
1	1	1	"Positive 1"	"Positive 1"	5360	39380	150	9633	10574	3253	200	201	200	53	100	100	0	0.000	0.000	0.000	9433	10374	1	0.000	0.000	0.000	0.000	30	26	156	1076	100	0	0	0	9433	1649616	195.717	10374	Error	"Not Defined"	"Positive 1"
1	2	1	"Positive 1"	"Positive 1"	5760	39380	150	13032	11854	3497	197	201	197	54	100	100	0	0.000	0.000	0.000	12835	11657	2	0.000	0.000	0.000	0.000	29	26	156	1202	100	0	0	0	12835	1849285	215.796	11657	Error	"Not Defined"	"Positive 1"
1	3	1	"Positive 2"	"Positive 2"	6180	39360	160	2751	2945	1020	200	206	200	65	100	100	0	0.000	0.000	0.000	2551	2745	3	0.000	0.000	0.000	0.000	34	31	208	1308	100	0	0	0	2551	612598	42.138	2745	Error	"Not Defined"	"Positive 2"
1	4	1	"Positive 2"	"Positive 2"	6580	39360	160	3072	3367	1265	181	186	181	55	100	100	0	0.000	0.000	0.000	2891	3186	4	0.000	0.000	0.000	0.000	37	29	208	1308	100	0	0	0	2891	700433	57.836	3186	Error	"Not Defined"	"Positive 2"
1	5	1	"Positive 3"	"Positive 3"	6930	39370	150	4850	5059	1610	174	178	174	52	100	100	0	0.000	0.000	0.000	4676	4885	5	0.000	0.000	0.000	0.000	31	29	156	1176	100	0	0	0	4676	789246	93.865	4885	Error	"Not Defined"	"Positive 3"
1	6	1	"Positive 3"	"Positive 3"	7330	39370	150	5534	6026	2262	176	178	176	51	100	100	0	0.000	0.000	0.000	5358	5850	6	0.000	0.000	0.000	0.000	37	28	156	1176	100	0	0	0	5358	940124	114.667	5850	Error	"Not Defined"	"Positive 3"
1	7	1	"neg"	"neg"	7740	39360	120	86	110	117	179	181	179	51	4	3	0	0.000	0.000	0.000	-93	-69	7	0.000	0.000	0.000	0.000	106	28	120	796	100	-50	0	0	-93	13257	-1.392	-69	Error	"Not Defined"	"neg"
1	8	1	"neg"	"neg"	8140	39360	120	88	107	88	176	181	176	53	2	1	0	0.000	0.000	0.000	-88	-69	8	0.000	0.000	0.000	0.000	82	29	120	796	100	-50	0	0	-88	12845	-1.396	-69	Error	"Not Defined"	"neg"
1	9	1	"6Ckine "	"6Ckine "	8510	39370	140	245	250	68	179	180	179	47	60	35	0	0.000	0.000	0.000	66	71	9	0.000	0.000	0.000	0.000	27	26	156	1070	100	0	0	0	66	39026	1.489	71	Error	"Not Defined"	"6Ckine "
1	10	1	"6Ckine "	"6Ckine "	8900	39370	170	229	235	65	176	178	176	46	54	27	0	0.000	0.000	0.000	53	59	10	0.000	0.000	0.000	0.000	27	25	208	1454	100	0	0	0	53	48809	1.239	59	Error	"Not Defined"	"6Ckine "
