ATF	1.0
29	43    
"Type=GenePix Export 3"
"DateTime=2025/02/11 15:21:06"
"Settings=E:\Conboy\2025-02-10\settings\S13-16.4.S13.480.33.Settings.gps"
"GalFile=C:\Documents and Settings\Misha\Desktop\Etsuko_Mice_Array.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=E:\Conboy\2025-02-10\image\s13-16.4.s13.Gain480Power33.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (#1/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=5280, 3320"
"Creator=GenePix Pro 6.1.0.4"
"Scanner=GenePix 4000B [133411]"
"FocusPosition=0"
"Temperature=28.0969"
"LinesAveraged=1"
"Comment="
"PMTGain=480"
"ScanPower=33"
"LaserPower=3.24421"
"Filters=<Empty>"
"ScanRegion=528,332,1636,1240"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (#1/532)"	"Ratio of Means (#1/532)"	"Median of Ratios (#1/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"Mean of Ratios (#1/532)"	"Ratios SD (#1/532)"	"Rgn Ratio (#1/532)"	"Rgn R2 (#1/532)"	"F532 CV"	"B532 CV"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (#1/532)"	"F532 Total Intensity"	"SNR 532"	"Sum of Means (#1/532)"	"Log Ratio (#1/532)"	"Accession"	"Symbol"
1	1	1	"Positive 1"	"Positive 1"	5420	3440	140	11664	11238	2585	99	102	99	35	100	100	0	0.000	0.000	0.000	11565	11139	1	0.000	0.000	0.000	0.000	23	34	156	772	100	0	0	0	11565	1753169	318.171	11139	Error	"Not Defined"	"Positive 1"
1	2	1	"Positive 1"	"Positive 1"	5820	3440	140	12547	13374	5516	105	115	105	72	100	100	0	0.000	0.000	0.000	12442	13269	2	0.000	0.000	0.000	0.000	41	62	156	920	100	0	0	0	12442	2086355	184.153	13269	Error	"Not Defined"	"Positive 1"
1	3	1	"Positive 2"	"Positive 2"	6240	3410	150	3321	3750	2031	97	103	97	45	100	100	0	0.000	0.000	0.000	3224	3653	3	0.000	0.000	0.000	0.000	54	43	156	894	100	0	0	0	3224	585043	81.044	3653	Error	"Not Defined"	"Positive 2"
1	4	1	"Positive 2"	"Positive 2"	6650	3420	150	4008	3979	1475	98	104	98	40	100	100	0	0.000	0.000	0.000	3910	3881	4	0.000	0.000	0.000	0.000	37	38	156	934	100	0	0	0	3910	620688	96.875	3881	Error	"Not Defined"	"Positive 2"
1	5	1	"Positive 3"	"Positive 3"	6990	3430	140	5535	5583	2652	101	104	101	49	98	98	0	0.000	0.000	0.000	5434	5482	5	0.000	0.000	0.000	0.000	47	47	156	884	100	0	0	0	5434	870995	111.816	5482	Error	"Not Defined"	"Positive 3"
1	6	1	"Positive 3"	"Positive 3"	7390	3430	140	5072	6505	4613	98	101	98	35	99	99	0	0.000	0.000	0.000	4974	6407	6	0.000	0.000	0.000	0.000	70	34	156	884	100	0	0	0	4974	1014849	182.971	6407	Error	"Not Defined"	"Positive 3"
1	7	1	"neg"	"neg"	7800	3420	120	68	68	23	101	260	101	1692	0	0	0	0.000	0.000	0.000	-33	-33	7	0.000	0.000	0.000	0.000	33	650	120	648	100	-50	0	0	-33	8177	-0.113	-33	Error	"Not Defined"	"neg"
1	8	1	"neg"	"neg"	8200	3420	120	66	71	42	100	108	100	58	1	0	0	0.000	0.000	0.000	-34	-29	8	0.000	0.000	0.000	0.000	59	53	120	648	100	-50	0	0	-34	8538	-0.638	-29	Error	"Not Defined"	"neg"
1	9	1	"6Ckine "	"6Ckine "	8570	3430	140	205	207	54	101	134	101	671	0	0	0	0.000	0.000	0.000	104	106	9	0.000	0.000	0.000	0.000	26	500	156	884	100	0	0	0	104	32368	0.109	106	Error	"Not Defined"	"6Ckine "
1	10	1	"6Ckine "	"6Ckine "	8980	3430	150	216	218	63	94	118	94	625	0	0	0	0.000	0.000	0.000	122	124	10	0.000	0.000	0.000	0.000	28	529	156	972	100	0	0	0	122	34057	0.160	124	Error	"Not Defined"	"6Ckine "
1	11	1	"Activin A "	"Activin A "	9400	3420	140	886	974	456	107	201	107	1599	7	0	0	0.000	0.000	0.000	779	867	11	0.000	0.000	0.000	0.000	46	795	156	848	100	0	0	0	779	151933	0.483	867	Error	"Not Defined"	"Activin A "
1	12	1	"Activin A "	"Activin A "	9800	3420	140	1116	1162	439	97	102	97	48	99	99	0	0.000	0.000	0.000	1019	1065	12	0.000	0.000	0.000	0.000	37	47	156	848	100	0	0	0	1019	181344	22.083	1065	Error	"Not Defined"	"Activin A "
