ATF	1.0
29	43    
"Type=GenePix Export 3"
"DateTime=2025/02/11 14:46:17"
"Settings=E:\Conboy\2025-02-10\settings\S9-12.83.S12.480.33.Settings.gps"
"GalFile=C:\Documents and Settings\Misha\Desktop\Etsuko_Mice_Array.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=E:\Conboy\2025-02-10\image\s9-12.83.s12.Gain480Power33.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (#1/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=5360, 56960"
"Creator=GenePix Pro 6.1.0.4"
"Scanner=GenePix 4000B [133411]"
"FocusPosition=0"
"Temperature=27.5475"
"LinesAveraged=1"
"Comment="
"PMTGain=480"
"ScanPower=33"
"LaserPower=3.11196"
"Filters=<Empty>"
"ScanRegion=536,5696,1644,6604"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (#1/532)"	"Ratio of Means (#1/532)"	"Median of Ratios (#1/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"Mean of Ratios (#1/532)"	"Ratios SD (#1/532)"	"Rgn Ratio (#1/532)"	"Rgn R2 (#1/532)"	"F532 CV"	"B532 CV"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (#1/532)"	"F532 Total Intensity"	"SNR 532"	"Sum of Means (#1/532)"	"Log Ratio (#1/532)"	"Accession"	"Symbol"
1	1	1	"Positive 1"	"Positive 1"	5530	57110	150	11616	12391	3329	110	113	110	35	100	100	0	0.000	0.000	0.000	11506	12281	1	0.000	0.000	0.000	0.000	26	30	156	1018	100	0	0	0	11506	1932967	350.800	12281	Error	"Not Defined"	"Positive 1"
1	2	1	"Positive 1"	"Positive 1"	5930	57100	150	14282	13522	3901	103	105	103	35	99	99	0	0.000	0.000	0.000	14179	13419	2	0.000	0.000	0.000	0.000	28	33	156	1080	100	0	0	0	14179	2109501	383.343	13419	Error	"Not Defined"	"Positive 1"
1	3	1	"Positive 2"	"Positive 2"	6350	57090	160	3345	3516	1223	106	108	106	32	100	100	0	0.000	0.000	0.000	3239	3410	3	0.000	0.000	0.000	0.000	34	29	208	1194	100	0	0	0	3239	731337	106.500	3410	Error	"Not Defined"	"Positive 2"
1	4	1	"Positive 2"	"Positive 2"	6750	57090	160	3584	3833	1535	108	111	108	38	99	98	0	0.000	0.000	0.000	3476	3725	4	0.000	0.000	0.000	0.000	40	34	208	1194	100	0	0	0	3476	797267	97.947	3725	Error	"Not Defined"	"Positive 2"
1	5	1	"Positive 3"	"Positive 3"	7110	57100	150	5931	6181	1868	111	113	111	36	100	100	0	0.000	0.000	0.000	5820	6070	5	0.000	0.000	0.000	0.000	30	31	156	1080	100	0	0	0	5820	964259	168.556	6070	Error	"Not Defined"	"Positive 3"
1	6	1	"Positive 3"	"Positive 3"	7500	57100	150	5828	6152	2478	105	109	105	40	100	100	0	0.000	0.000	0.000	5723	6047	6	0.000	0.000	0.000	0.000	40	36	156	1080	100	0	0	0	5723	959669	151.075	6047	Error	"Not Defined"	"Positive 3"
1	7	1	"neg"	"neg"	7920	57100	120	67	75	34	98	100	98	34	5	3	0	0.000	0.000	0.000	-31	-23	7	0.000	0.000	0.000	0.000	45	34	120	756	100	-50	0	0	-31	9020	-0.735	-23	Error	"Not Defined"	"neg"
1	8	1	"neg"	"neg"	8320	57100	120	72	79	40	96	98	96	32	7	3	0	0.000	0.000	0.000	-24	-17	8	0.000	0.000	0.000	0.000	50	32	120	756	100	-50	0	0	-24	9433	-0.594	-17	Error	"Not Defined"	"neg"
1	9	1	"6Ckine "	"6Ckine "	8690	57100	160	203	209	59	94	98	94	32	94	81	0	0.000	0.000	0.000	109	115	9	0.000	0.000	0.000	0.000	28	32	208	1234	100	0	0	0	109	43500	3.469	115	Error	"Not Defined"	"6Ckine "
1	10	1	"6Ckine "	"6Ckine "	9090	57110	150	198	197	55	93	96	93	31	91	75	0	0.000	0.000	0.000	105	104	10	0.000	0.000	0.000	0.000	27	32	156	1114	100	0	0	0	105	30697	3.258	104	Error	"Not Defined"	"6Ckine "
1	11	1	"Activin A "	"Activin A "	9520	57090	150	798	814	303	94	97	94	32	100	100	0	0.000	0.000	0.000	704	720	11	0.000	0.000	0.000	0.000	37	32	156	1046	100	0	0	0	704	126928	22.406	720	Error	"Not Defined"	"Activin A "
1	12	1	"Activin A "	"Activin A "	9910	57090	150	773	785	245	98	99	98	32	98	98	0	0.000	0.000	0.000	675	687	12	0.000	0.000	0.000	0.000	31	32	156	1046	100	0	0	0	675	122474	21.438	687	Error	"Not Defined"	"Activin A "
1	13	1	"Activin C"	"Activin C"	10370	57110	140	220	221	66	95	97	95	31	93	82	0	0.000	0.000	0.000	125	126	13	0.000	0.000	0.000	0.000	29	31	156	1016	100	0	0	0	125	34528	4.000	126	Error	"Not Defined"	"Activin C"
1	14	1	"Activin C"	"Activin C"	10770	57110	140	230	229	62	95	97	95	30	98	92	0	0.000	0.000	0.000	135	134	14	0.000	0.000	0.000	0.000	27	30	156	1016	100	0	0	0	135	35713	4.400	134	Error	"Not Defined"	"Activin C"
