ATF	1.0
29	43    
"Type=GenePix Export 3"
"DateTime=2025/02/10 14:44:09"
"Settings=E:\Conboy\2025-02-10\settings\S1-4.14.S2.480.33.Settings.gps"
"GalFile=C:\Documents and Settings\Misha\Desktop\Etsuko_Mice_Array.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=E:\Conboy\2025-02-10\image\s1-4.14.s2.Gain480Power33.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (#1/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=5280, 21480"
"Creator=GenePix Pro 6.1.0.4"
"Scanner=GenePix 4000B [133411]"
"FocusPosition=0"
"Temperature=27.2423"
"LinesAveraged=1"
"Comment="
"PMTGain=480"
"ScanPower=33"
"LaserPower=3.00376"
"Filters=<Empty>"
"ScanRegion=528,2148,1636,3056"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (#1/532)"	"Ratio of Means (#1/532)"	"Median of Ratios (#1/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"Mean of Ratios (#1/532)"	"Ratios SD (#1/532)"	"Rgn Ratio (#1/532)"	"Rgn R2 (#1/532)"	"F532 CV"	"B532 CV"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (#1/532)"	"F532 Total Intensity"	"SNR 532"	"Sum of Means (#1/532)"	"Log Ratio (#1/532)"	"Accession"	"Symbol"
1	1	1	"Positive 1"	"Positive 1"	5420	21650	140	10842	12729	8687	62	64	62	22	99	99	0	0.000	0.000	0.000	10780	12667	1	0.000	0.000	0.000	0.000	68	34	156	916	100	0	0	0	10780	1985714	575.682	12667	Error	"Not Defined"	"Positive 1"
1	2	1	"Positive 1"	"Positive 1"	5810	21650	130	11006	17385	12651	66	87	66	284	100	100	0	0.000	0.000	0.000	10940	17319	2	0.000	0.000	0.000	0.000	72	326	120	914	100	0	0	0	10940	2086174	60.908	17319	Error	"Not Defined"	"Positive 1"
1	3	1	"Positive 2"	"Positive 2"	6230	21630	130	2209	3466	4357	70	74	70	30	100	100	0	0.000	0.000	0.000	2139	3396	3	0.000	0.000	0.000	0.000	125	40	120	872	100	0	0	0	2139	415958	113.067	3396	Error	"Not Defined"	"Positive 2"
1	4	1	"Positive 2"	"Positive 2"	6640	21630	140	3781	4846	3432	62	69	62	43	100	100	0	0.000	0.000	0.000	3719	4784	4	0.000	0.000	0.000	0.000	70	62	156	1016	100	0	0	0	3719	756032	111.093	4784	Error	"Not Defined"	"Positive 2"
1	5	1	"Positive 3"	"Positive 3"	6990	21640	140	6494	6418	2223	62	66	62	35	100	100	0	0.000	0.000	0.000	6432	6356	5	0.000	0.000	0.000	0.000	34	53	156	1044	100	0	0	0	6432	1001137	181.486	6356	Error	"Not Defined"	"Positive 3"
1	6	1	"Positive 3"	"Positive 3"	7390	21650	140	4769	7241	7034	59	65	59	46	99	99	0	0.000	0.000	0.000	4710	7182	6	0.000	0.000	0.000	0.000	97	70	156	1070	100	0	0	0	4710	1129650	156.000	7182	Error	"Not Defined"	"Positive 3"
1	7	1	"neg"	"neg"	7800	21630	120	51	52	19	57	61	57	25	7	0	0	0.000	0.000	0.000	-6	-5	7	0.000	0.000	0.000	0.000	36	40	120	778	100	-50	0	0	-6	6267	-0.360	-5	Error	"Not Defined"	"neg"
1	8	1	"neg"	"neg"	8200	21630	120	56	59	25	56	59	56	22	16	5	0	0.000	0.000	0.000	0	3	8	0.000	0.000	0.000	0.000	42	37	120	778	100	-50	0	0	0	7035	0.000	3	Error	"Not Defined"	"neg"
1	9	1	"6Ckine "	"6Ckine "	8570	21640	150	173	180	52	56	58	56	22	98	95	0	0.000	0.000	0.000	117	124	9	0.000	0.000	0.000	0.000	28	37	156	1146	100	0	0	0	117	28061	5.545	124	Error	"Not Defined"	"6Ckine "
1	10	1	"6Ckine "	"6Ckine "	8970	21640	140	176	175	48	57	59	57	23	96	91	0	0.000	0.000	0.000	119	118	10	0.000	0.000	0.000	0.000	27	38	156	1044	100	0	0	0	119	27367	5.043	118	Error	"Not Defined"	"6Ckine "
1	11	1	"Activin A "	"Activin A "	9390	21630	140	236	245	80	58	60	58	22	98	97	0	0.000	0.000	0.000	178	187	11	0.000	0.000	0.000	0.000	32	36	156	1016	100	0	0	0	178	38146	8.409	187	Error	"Not Defined"	"Activin A "
1	12	1	"Activin A "	"Activin A "	9790	21630	140	180	199	88	56	60	56	26	95	90	0	0.000	0.000	0.000	124	143	12	0.000	0.000	0.000	0.000	44	43	156	1016	100	0	0	0	124	31024	5.346	143	Error	"Not Defined"	"Activin A "
1	13	1	"Activin C"	"Activin C"	10260	21640	140	134	136	44	59	61	59	23	91	76	0	0.000	0.000	0.000	75	77	13	0.000	0.000	0.000	0.000	32	37	156	1044	100	0	0	0	75	21189	3.261	77	Error	"Not Defined"	"Activin C"
1	14	1	"Activin C"	"Activin C"	10650	21640	150	143	146	42	60	62	60	24	96	81	0	0.000	0.000	0.000	83	86	14	0.000	0.000	0.000	0.000	28	38	156	1146	100	0	0	0	83	22760	3.500	86	Error	"Not Defined"	"Activin C"
1	15	1	"Activin RIB / ALK-4"	"Activin RIB / ALK-4"	10970	21640	160	148	150	44	60	62	60	21	93	86	0	0.000	0.000	0.000	88	90	15	0.000	0.000	0.000	0.000	29	33	208	1302	100	0	0	0	88	31257	4.190	90	Error	"Not Defined"	"Activin RIB / ALK-4"
1	16	1	"Activin RIB / ALK-4"	"Activin RIB / ALK-4"	11370	21640	160	158	156	51	58	60	58	21	93	86	0	0.000	0.000	0.000	100	98	16	0.000	0.000	0.000	0.000	32	35	208	1308	100	0	0	0	100	32494	4.571	98	Error	"Not Defined"	"Activin RIB / ALK-4"
1	17	1	"Adiponectin / Acrp30"	"Adiponectin / Acrp30"	11800	21640	150	160	160	47	61	62	61	23	94	87	0	0.000	0.000	0.000	99	99	17	0.000	0.000	0.000	0.000	29	37	156	1146	100	0	0	0	99	24990	4.261	99	Error	"Not Defined"	"Adiponectin / Acrp30"
1	18	1	"Adiponectin / Acrp30"	"Adiponectin / Acrp30"	12200	21640	140	142	143	47	66	70	66	31	80	60	0	0.000	0.000	0.000	76	77	18	0.000	0.000	0.000	0.000	32	44	156	1044	100	0	0	0	76	22350	2.355	77	Error	"Not Defined"	"Adiponectin / Acrp30"
1	19	1	"AgRP"	"AgRP"	12620	21630	160	201	208	95	63	68	63	38	89	78	0	0.000	0.000	0.000	138	145	19	0.000	0.000	0.000	0.000	45	55	208	1272	100	0	0	0	138	43176	3.684	145	Error	"Not Defined"	"AgRP"
1	20	1	"AgRP"	"AgRP"	13030	21630	150	220	228	123	58	61	58	24	99	96	0	0.000	0.000	0.000	162	170	20	0.000	0.000	0.000	0.000	53	39	156	1114	100	0	0	0	162	35495	6.958	170	Error	"Not Defined"	"AgRP"
1	21	1	"ALCAM"	"ALCAM"	13380	21640	130	119	121	38	60	64	60	27	78	54	0	0.000	0.000	0.000	59	61	21	0.000	0.000	0.000	0.000	31	42	120	894	100	0	0	0	59	14552	2.111	61	Error	"Not Defined"	"ALCAM"
1	22	1	"ALCAM"	"ALCAM"	13790	21640	140	129	164	249	63	66	63	26	78	62	0	0.000	0.000	0.000	66	101	22	0.000	0.000	0.000	0.000	151	39	156	1044	100	0	0	0	66	25511	3.769	101	Error	"Not Defined"	"ALCAM"
1	23	1	"Angiopoietin-like 2"	"Angiopoietin-like 2"	14210	21630	150	154	153	45	58	75	58	371	0	0	0	0.000	0.000	0.000	96	95	23	0.000	0.000	0.000	0.000	29	494	156	1114	100	0	0	0	96	23823	0.210	95	Error	"Not Defined"	"Angiopoietin-like 2"
1	24	1	"Angiopoietin-like 2"	"Angiopoietin-like 2"	14610	21630	140	149	153	46	58	61	58	32	93	72	0	0.000	0.000	0.000	91	95	24	0.000	0.000	0.000	0.000	30	52	156	1016	100	0	0	0	91	23916	2.875	95	Error	"Not Defined"	"Angiopoietin-like 2"
1	25	1	"Angiopoietin-like 3"	"Angiopoietin-like 3"	14970	21630	150	131	132	38	58	60	58	22	93	76	0	0.000	0.000	0.000	73	74	25	0.000	0.000	0.000	0.000	28	36	156	1114	100	0	0	0	73	20620	3.273	74	Error	"Not Defined"	"Angiopoietin-like 3"
1	26	1	"Angiopoietin-like 3"	"Angiopoietin-like 3"	15370	21640	160	127	129	44	58	60	58	20	87	77	0	0.000	0.000	0.000	69	71	26	0.000	0.000	0.000	0.000	34	33	208	1308	100	0	0	0	69	26879	3.450	71	Error	"Not Defined"	"Angiopoietin-like 3"
1	27	1	"AR (Amphiregulin)"	"AR (Amphiregulin)"	15800	21640	150	91	96	33	60	61	60	20	60	37	0	0.000	0.000	0.000	31	36	27	0.000	0.000	0.000	0.000	34	32	156	1146	100	0	0	0	31	14909	1.750	36	Error	"Not Defined"	"AR (Amphiregulin)"
1	28	1	"AR (Amphiregulin)"	"AR (Amphiregulin)"	16190	21630	150	86	84	26	61	64	61	21	53	22	0	0.000	0.000	0.000	25	23	28	0.000	0.000	0.000	0.000	30	32	156	1018	100	0	0	0	25	13029	0.952	23	Error	"Not Defined"	"AR (Amphiregulin)"
1	1	2	"Artemin"	"Artemin"	5450	22030	140	177	174	47	64	66	64	24	98	91	0	0.000	0.000	0.000	113	110	29	0.000	0.000	0.000	0.000	27	36	156	1070	100	0	0	0	113	27123	4.500	110	Error	"Not Defined"	"Artemin"
1	2	2	"Artemin"	"Artemin"	5850	22030	150	160	170	60	64	67	64	26	96	82	0	0.000	0.000	0.000	96	106	30	0.000	0.000	0.000	0.000	35	38	156	1272	100	0	0	0	96	26551	3.962	106	Error	"Not Defined"	"Artemin"
1	3	2	"Axl"	"Axl"	6170	22030	160	149	150	54	64	72	64	129	20	0	0	0.000	0.000	0.000	85	86	31	0.000	0.000	0.000	0.000	36	179	208	1506	100	0	0	0	85	31185	0.605	86	Error	"Not Defined"	"Axl"
1	4	2	"Axl"	"Axl"	6580	22030	140	147	194	542	63	66	63	26	88	78	0	0.000	0.000	0.000	84	131	32	0.000	0.000	0.000	0.000	279	39	156	1140	100	0	0	0	84	30191	4.923	131	Error	"Not Defined"	"Axl"
1	5	2	"b FGF"	"b FGF"	7020	22040	130	376	385	96	59	61	59	24	100	100	0	0.000	0.000	0.000	317	326	33	0.000	0.000	0.000	0.000	24	39	120	940	100	0	0	0	317	46204	13.500	326	Error	"Not Defined"	"b FGF"
1	6	2	"b FGF"	"b FGF"	7420	22040	130	406	411	124	59	61	59	21	100	100	0	0.000	0.000	0.000	347	352	34	0.000	0.000	0.000	0.000	30	34	120	940	100	0	0	0	347	49333	16.667	352	Error	"Not Defined"	"b FGF"
1	7	2	"B7-1/CD80"	"B7-1/CD80"	7820	22020	150	209	220	77	59	62	59	24	98	95	0	0.000	0.000	0.000	150	161	35	0.000	0.000	0.000	0.000	35	38	156	1272	100	0	0	0	150	34393	6.583	161	Error	"Not Defined"	"B7-1/CD80"
1	8	2	"B7-1/CD80"	"B7-1/CD80"	8220	22020	150	185	200	74	61	65	61	29	96	94	0	0.000	0.000	0.000	124	139	36	0.000	0.000	0.000	0.000	37	44	156	1272	100	0	0	0	124	31184	4.655	139	Error	"Not Defined"	"B7-1/CD80"
1	9	2	"BAFF R / TNFRSF13C"	"BAFF R / TNFRSF13C"	8580	22030	140	512	497	191	58	60	58	24	95	94	0	0.000	0.000	0.000	454	439	37	0.000	0.000	0.000	0.000	38	40	156	1140	100	0	0	0	454	77493	18.208	439	Error	"Not Defined"	"BAFF R / TNFRSF13C"
1	10	2	"BAFF R / TNFRSF13C"	"BAFF R / TNFRSF13C"	8980	22040	140	526	522	140	57	59	57	23	99	98	0	0.000	0.000	0.000	469	465	38	0.000	0.000	0.000	0.000	26	38	156	1140	100	0	0	0	469	81488	20.130	465	Error	"Not Defined"	"BAFF R / TNFRSF13C"
1	11	2	"BCMA / TNFRSF17"	"BCMA / TNFRSF17"	9410	22030	150	197	197	61	58	87	58	814	0	0	0	0.000	0.000	0.000	139	139	39	0.000	0.000	0.000	0.000	30	935	156	1272	100	0	0	0	139	30691	0.135	139	Error	"Not Defined"	"BCMA / TNFRSF17"
1	12	2	"BCMA / TNFRSF17"	"BCMA / TNFRSF17"	9810	22040	140	249	253	89	59	63	59	39	95	91	0	0.000	0.000	0.000	190	194	40	0.000	0.000	0.000	0.000	35	61	156	1140	100	0	0	0	190	39472	4.872	194	Error	"Not Defined"	"BCMA / TNFRSF17"
1	13	2	"beta-Catenin"	"beta-Catenin"	10170	22040	150	176	179	45	59	62	59	24	99	95	0	0.000	0.000	0.000	117	120	41	0.000	0.000	0.000	0.000	25	38	156	1272	100	0	0	0	117	27889	4.875	120	Error	"Not Defined"	"beta-Catenin"
1	14	2	"beta-Catenin"	"beta-Catenin"	10570	22040	150	173	175	47	59	63	59	44	94	75	0	0.000	0.000	0.000	114	116	42	0.000	0.000	0.000	0.000	26	69	156	1272	100	0	0	0	114	27277	2.545	116	Error	"Not Defined"	"beta-Catenin"
1	15	2	"BLC"	"BLC"	10990	22030	150	210	213	56	62	63	62	21	99	98	0	0.000	0.000	0.000	148	151	43	0.000	0.000	0.000	0.000	26	33	156	1272	100	0	0	0	148	33302	7.143	151	Error	"Not Defined"	"BLC"
1	16	2	"BLC"	"BLC"	11390	22030	150	187	195	54	61	63	61	22	99	98	0	0.000	0.000	0.000	126	134	44	0.000	0.000	0.000	0.000	27	34	156	1272	100	0	0	0	126	30347	6.000	134	Error	"Not Defined"	"BLC"
1	17	2	"BTC (Betacellulin)"	"BTC (Betacellulin)"	11840	22030	140	238	242	64	60	62	60	25	99	98	0	0.000	0.000	0.000	178	182	45	0.000	0.000	0.000	0.000	26	40	156	1140	100	0	0	0	178	37703	7.200	182	Error	"Not Defined"	"BTC (Betacellulin)"
1	18	2	"BTC (Betacellulin)"	"BTC (Betacellulin)"	12250	22030	140	268	251	78	60	65	60	63	92	81	0	0.000	0.000	0.000	208	191	46	0.000	0.000	0.000	0.000	31	96	156	1140	100	0	0	0	208	39094	2.952	191	Error	"Not Defined"	"BTC (Betacellulin)"
1	19	2	"Cardiotrophin-1"	"Cardiotrophin-1"	12570	22030	140	212	212	59	56	61	56	65	95	64	0	0.000	0.000	0.000	156	156	47	0.000	0.000	0.000	0.000	27	106	156	1140	100	0	0	0	156	33088	2.323	156	Error	"Not Defined"	"Cardiotrophin-1"
1	20	2	"Cardiotrophin-1"	"Cardiotrophin-1"	12970	22030	150	202	202	60	57	60	57	26	98	95	0	0.000	0.000	0.000	145	145	48	0.000	0.000	0.000	0.000	29	43	156	1272	100	0	0	0	145	31453	5.462	145	Error	"Not Defined"	"Cardiotrophin-1"
1	21	2	"CCL1 / I-309 / TCA-3"	"CCL1 / I-309 / TCA-3"	13410	22020	130	109	111	40	63	71	63	42	50	18	0	0.000	0.000	0.000	46	48	49	0.000	0.000	0.000	0.000	36	59	120	940	100	0	0	0	46	13279	0.952	48	Error	"Not Defined"	"CCL1 / I-309 / TCA-3"
1	22	2	"CCL1 / I-309 / TCA-3"	"CCL1 / I-309 / TCA-3"	13780	22060	100	96	101	38	81	86	81	34	31	12	0	0.000	0.000	0.000	15	20	50	0.000	0.000	0.000	0.000	37	39	80	560	100	0	0	0	15	8077	0.441	20	Error	"Not Defined"	"CCL1 / I-309 / TCA-3"
1	23	2	"CCL28"	"CCL28"	14220	22020	140	104	106	38	58	60	58	22	73	51	0	0.000	0.000	0.000	46	48	51	0.000	0.000	0.000	0.000	35	36	156	1140	100	0	0	0	46	16553	2.091	48	Error	"Not Defined"	"CCL28"
1	24	2	"CCL28"	"CCL28"	14630	22010	150	92	93	30	57	59	57	21	66	37	0	0.000	0.000	0.000	35	36	52	0.000	0.000	0.000	0.000	32	35	156	1272	100	0	0	0	35	14528	1.619	36	Error	"Not Defined"	"CCL28"
1	25	2	"CCL4 / MIP-1 beta"	"CCL4 / MIP-1 beta"	14990	22040	140	150	152	51	59	61	59	20	94	86	0	0.000	0.000	0.000	91	93	53	0.000	0.000	0.000	0.000	33	32	156	1140	100	0	0	0	91	23757	4.550	93	Error	"Not Defined"	"CCL4 / MIP-1 beta"
1	26	2	"CCL4 / MIP-1 beta"	"CCL4 / MIP-1 beta"	15380	22040	150	143	149	48	60	62	60	21	92	83	0	0.000	0.000	0.000	83	89	54	0.000	0.000	0.000	0.000	32	33	156	1272	100	0	0	0	83	23251	4.143	89	Error	"Not Defined"	"CCL4 / MIP-1 beta"
1	27	2	"CCL7 / MCP-3 / MARC"	"CCL7 / MCP-3 / MARC"	15810	22030	140	107	109	34	60	62	60	21	77	53	0	0.000	0.000	0.000	47	49	55	0.000	0.000	0.000	0.000	31	33	156	1140	100	0	0	0	47	16928	2.238	49	Error	"Not Defined"	"CCL7 / MCP-3 / MARC"
1	28	2	"CCL7 / MCP-3 / MARC"	"CCL7 / MCP-3 / MARC"	16200	22020	160	94	100	40	61	63	61	21	60	39	0	0.000	0.000	0.000	33	39	56	0.000	0.000	0.000	0.000	40	33	208	1308	100	0	0	0	33	20749	1.762	39	Error	"Not Defined"	"CCL7 / MCP-3 / MARC"
1	1	3	"CCL8 / MCP-2"	"CCL8 / MCP-2"	5380	22450	160	159	158	53	63	65	63	24	89	79	0	0.000	0.000	0.000	96	95	57	0.000	0.000	0.000	0.000	33	36	208	1066	100	0	0	0	96	32856	3.875	95	Error	"Not Defined"	"CCL8 / MCP-2"
1	2	3	"CCL8 / MCP-2"	"CCL8 / MCP-2"	5780	22450	160	158	161	56	64	66	64	23	90	82	0	0.000	0.000	0.000	94	97	58	0.000	0.000	0.000	0.000	34	34	208	1512	100	0	0	0	94	33397	4.130	97	Error	"Not Defined"	"CCL8 / MCP-2"
