ATF	1.0
29	43    
"Type=GenePix Export 3"
"DateTime=2025/02/10 15:43:34"
"Settings=E:\Conboy\2025-02-10\settings\S5-8.93.S5.480.33.Settings.gps"
"GalFile=C:\Documents and Settings\Misha\Desktop\Etsuko_Mice_Array.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=E:\Conboy\2025-02-10\image\s5-8.93.s1.Gain480Power33.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (#1/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=5240, 3440"
"Creator=GenePix Pro 6.1.0.4"
"Scanner=GenePix 4000B [133411]"
"FocusPosition=0"
"Temperature=28.3105"
"LinesAveraged=1"
"Comment="
"PMTGain=480"
"ScanPower=33"
"LaserPower=3.25068"
"Filters=<Empty>"
"ScanRegion=524,344,1632,1252"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (#1/532)"	"Ratio of Means (#1/532)"	"Median of Ratios (#1/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"Mean of Ratios (#1/532)"	"Ratios SD (#1/532)"	"Rgn Ratio (#1/532)"	"Rgn R2 (#1/532)"	"F532 CV"	"B532 CV"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (#1/532)"	"F532 Total Intensity"	"SNR 532"	"Sum of Means (#1/532)"	"Log Ratio (#1/532)"	"Accession"	"Symbol"
1	1	1	"Positive 1"	"Positive 1"	5420	3560	150	12960	12227	2497	135	138	135	38	100	100	0	0.000	0.000	0.000	12825	12092	1	0.000	0.000	0.000	0.000	20	27	156	940	100	0	0	0	12825	1907481	318.132	12092	Error	"Not Defined"	"Positive 1"
1	2	1	"Positive 1"	"Positive 1"	5830	3560	150	14851	14089	2477	139	144	139	54	100	100	0	0.000	0.000	0.000	14712	13950	2	0.000	0.000	0.000	0.000	17	37	156	1010	100	0	0	0	14712	2197949	258.241	13950	Error	"Not Defined"	"Positive 1"
1	3	1	"Positive 2"	"Positive 2"	6250	3540	160	3383	3464	1199	139	142	139	41	99	99	0	0.000	0.000	0.000	3244	3325	3	0.000	0.000	0.000	0.000	34	28	208	1066	100	0	0	0	3244	720516	81.024	3325	Error	"Not Defined"	"Positive 2"
1	4	1	"Positive 2"	"Positive 2"	6650	3550	160	3665	3754	1489	139	142	139	41	99	98	0	0.000	0.000	0.000	3526	3615	4	0.000	0.000	0.000	0.000	39	28	208	1110	100	0	0	0	3526	780823	88.098	3615	Error	"Not Defined"	"Positive 2"
1	5	1	"Positive 3"	"Positive 3"	7000	3550	150	5870	6029	1630	134	137	134	40	100	100	0	0.000	0.000	0.000	5736	5895	5	0.000	0.000	0.000	0.000	27	29	156	972	100	0	0	0	5736	940509	147.300	5895	Error	"Not Defined"	"Positive 3"
1	6	1	"Positive 3"	"Positive 3"	7400	3560	150	6949	7174	1941	137	140	137	40	100	100	0	0.000	0.000	0.000	6812	7037	6	0.000	0.000	0.000	0.000	27	28	156	1010	100	0	0	0	6812	1119200	175.850	7037	Error	"Not Defined"	"Positive 3"
1	7	1	"neg"	"neg"	7810	3550	120	110	118	69	135	137	135	42	9	4	0	0.000	0.000	0.000	-25	-17	7	0.000	0.000	0.000	0.000	58	30	120	678	100	-50	0	0	-25	14138	-0.452	-17	Error	"Not Defined"	"neg"
1	8	1	"neg"	"neg"	8210	3550	120	94	103	61	127	130	127	39	5	3	0	0.000	0.000	0.000	-33	-24	8	0.000	0.000	0.000	0.000	59	30	120	678	100	-50	0	0	-33	12348	-0.692	-24	Error	"Not Defined"	"neg"
1	9	1	"6Ckine "	"6Ckine "	8580	3560	140	369	378	96	121	123	121	40	100	99	0	0.000	0.000	0.000	248	257	9	0.000	0.000	0.000	0.000	25	32	156	920	100	0	0	0	248	58898	6.375	257	Error	"Not Defined"	"6Ckine "
1	10	1	"6Ckine "	"6Ckine "	8980	3560	140	441	465	127	120	123	120	46	100	100	0	0.000	0.000	0.000	321	345	10	0.000	0.000	0.000	0.000	27	37	156	920	100	0	0	0	321	72465	7.435	345	Error	"Not Defined"	"6Ckine "
1	11	1	"Activin A "	"Activin A "	9400	3550	140	689	742	318	123	127	123	44	98	96	0	0.000	0.000	0.000	566	619	11	0.000	0.000	0.000	0.000	42	34	156	884	100	0	0	0	566	115737	13.977	619	Error	"Not Defined"	"Activin A "
1	12	1	"Activin A "	"Activin A "	9810	3540	150	547	646	267	130	134	130	50	100	100	0	0.000	0.000	0.000	417	516	12	0.000	0.000	0.000	0.000	41	37	156	934	100	0	0	0	417	100818	10.240	516	Error	"Not Defined"	"Activin A "
1	13	1	"Activin C"	"Activin C"	10260	3560	150	281	291	81	131	134	131	72	91	53	0	0.000	0.000	0.000	150	160	13	0.000	0.000	0.000	0.000	27	53	156	1010	100	0	0	0	150	45395	2.181	160	Error	"Not Defined"	"Activin C"
1	14	1	"Activin C"	"Activin C"	10660	3560	150	300	305	84	132	135	132	39	96	90	0	0.000	0.000	0.000	168	173	14	0.000	0.000	0.000	0.000	27	28	156	1010	100	0	0	0	168	47539	4.359	173	Error	"Not Defined"	"Activin C"
1	15	1	"Activin RIB / ALK-4"	"Activin RIB / ALK-4"	10980	3560	150	354	373	95	133	137	133	39	99	97	0	0.000	0.000	0.000	221	240	15	0.000	0.000	0.000	0.000	25	28	156	1010	100	0	0	0	221	58212	6.051	240	Error	"Not Defined"	"Activin RIB / ALK-4"
1	16	1	"Activin RIB / ALK-4"	"Activin RIB / ALK-4"	11390	3560	150	421	427	108	133	135	133	41	100	99	0	0.000	0.000	0.000	288	294	16	0.000	0.000	0.000	0.000	25	30	156	1010	100	0	0	0	288	66575	7.122	294	Error	"Not Defined"	"Activin RIB / ALK-4"
1	17	1	"Adiponectin / Acrp30"	"Adiponectin / Acrp30"	11820	3570	140	616	671	218	128	129	128	37	100	100	0	0.000	0.000	0.000	488	543	17	0.000	0.000	0.000	0.000	32	28	156	954	100	0	0	0	488	104610	14.649	543	Error	"Not Defined"	"Adiponectin / Acrp30"
1	18	1	"Adiponectin / Acrp30"	"Adiponectin / Acrp30"	12220	3570	150	713	752	178	126	128	126	38	100	100	0	0.000	0.000	0.000	587	626	18	0.000	0.000	0.000	0.000	23	29	156	1046	100	0	0	0	587	117368	16.421	626	Error	"Not Defined"	"Adiponectin / Acrp30"
1	19	1	"AgRP"	"AgRP"	12640	3560	160	635	799	545	120	122	120	38	98	96	0	0.000	0.000	0.000	515	679	19	0.000	0.000	0.000	0.000	68	31	208	1152	100	0	0	0	515	166126	17.816	679	Error	"Not Defined"	"AgRP"
1	20	1	"AgRP"	"AgRP"	13040	3560	160	795	965	587	117	120	117	38	96	96	0	0.000	0.000	0.000	678	848	20	0.000	0.000	0.000	0.000	60	31	208	1152	100	0	0	0	678	200704	22.237	848	Error	"Not Defined"	"AgRP"
1	21	1	"ALCAM"	"ALCAM"	13390	3570	140	362	376	93	117	120	117	37	98	98	0	0.000	0.000	0.000	245	259	21	0.000	0.000	0.000	0.000	24	30	156	954	100	0	0	0	245	58657	6.919	259	Error	"Not Defined"	"ALCAM"
1	22	1	"ALCAM"	"ALCAM"	13800	3570	140	439	446	120	121	124	121	40	98	98	0	0.000	0.000	0.000	318	325	22	0.000	0.000	0.000	0.000	26	32	156	954	100	0	0	0	318	69550	8.050	325	Error	"Not Defined"	"ALCAM"
1	23	1	"Angiopoietin-like 2"	"Angiopoietin-like 2"	14220	3560	150	686	692	145	119	122	119	38	100	100	0	0.000	0.000	0.000	567	573	23	0.000	0.000	0.000	0.000	20	31	156	1010	100	0	0	0	567	108022	15.000	573	Error	"Not Defined"	"Angiopoietin-like 2"
1	24	1	"Angiopoietin-like 2"	"Angiopoietin-like 2"	14620	3560	150	754	772	175	114	121	114	113	100	100	0	0.000	0.000	0.000	640	658	24	0.000	0.000	0.000	0.000	22	93	156	1010	100	0	0	0	640	120442	5.761	658	Error	"Not Defined"	"Angiopoietin-like 2"
1	25	1	"Angiopoietin-like 3"	"Angiopoietin-like 3"	14980	3570	150	376	375	90	116	118	116	34	100	100	0	0.000	0.000	0.000	260	259	25	0.000	0.000	0.000	0.000	24	28	156	1046	100	0	0	0	260	58556	7.559	259	Error	"Not Defined"	"Angiopoietin-like 3"
1	26	1	"Angiopoietin-like 3"	"Angiopoietin-like 3"	15380	3560	150	378	386	106	114	117	114	34	100	100	0	0.000	0.000	0.000	264	272	26	0.000	0.000	0.000	0.000	27	29	156	1010	100	0	0	0	264	60217	7.912	272	Error	"Not Defined"	"Angiopoietin-like 3"
