ATF	1.0
29	43    
"Type=GenePix Export 3"
"DateTime=2025/02/10 15:03:09"
"Settings=E:\Conboy\2025-02-10\settings\S1-4.14.S3.480.33.Settings.gps"
"GalFile=C:\Documents and Settings\Misha\Desktop\Etsuko_Mice_Array.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=E:\Conboy\2025-02-10\image\s1-4.14.s3.Gain480Power33.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (#1/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=5240, 39400"
"Creator=GenePix Pro 6.1.0.4"
"Scanner=GenePix 4000B [133411]"
"FocusPosition=0"
"Temperature=27.6696"
"LinesAveraged=1"
"Comment="
"PMTGain=480"
"ScanPower=33"
"LaserPower=2.95012"
"Filters=<Empty>"
"ScanRegion=524,3940,1632,4848"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (#1/532)"	"Ratio of Means (#1/532)"	"Median of Ratios (#1/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"Mean of Ratios (#1/532)"	"Ratios SD (#1/532)"	"Rgn Ratio (#1/532)"	"Rgn R2 (#1/532)"	"F532 CV"	"B532 CV"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (#1/532)"	"F532 Total Intensity"	"SNR 532"	"Sum of Means (#1/532)"	"Log Ratio (#1/532)"	"Accession"	"Symbol"
1	1	1	"Positive 1"	"Positive 1"	5410	39550	150	12439	12495	3630	55	58	55	20	100	100	0	0.000	0.000	0.000	12384	12440	1	0.000	0.000	0.000	0.000	29	34	156	1018	100	0	0	0	12384	1949168	621.850	12440	Error	"Not Defined"	"Positive 1"
1	2	1	"Positive 1"	"Positive 1"	5810	39550	140	15231	14210	3635	53	56	53	20	100	100	0	0.000	0.000	0.000	15178	14157	2	0.000	0.000	0.000	0.000	25	35	156	1016	100	0	0	0	15178	2216801	707.700	14157	Error	"Not Defined"	"Positive 1"
1	3	1	"Positive 2"	"Positive 2"	6220	39530	150	2178	3547	3528	53	56	53	19	100	100	0	0.000	0.000	0.000	2125	3494	3	0.000	0.000	0.000	0.000	99	33	156	1046	100	0	0	0	2125	553402	183.737	3494	Error	"Not Defined"	"Positive 2"
1	4	1	"Positive 2"	"Positive 2"	6620	39530	150	4228	4331	1272	56	60	56	32	100	100	0	0.000	0.000	0.000	4172	4275	4	0.000	0.000	0.000	0.000	29	53	156	1046	100	0	0	0	4172	675684	133.469	4275	Error	"Not Defined"	"Positive 2"
1	5	1	"Positive 3"	"Positive 3"	6980	39540	140	4935	5967	4226	58	61	58	23	100	99	0	0.000	0.000	0.000	4877	5909	5	0.000	0.000	0.000	0.000	70	37	156	986	100	0	0	0	4877	930877	256.783	5909	Error	"Not Defined"	"Positive 3"
1	6	1	"Positive 3"	"Positive 3"	7380	39550	150	6204	6767	2481	52	55	52	20	100	100	0	0.000	0.000	0.000	6152	6715	6	0.000	0.000	0.000	0.000	36	36	156	1114	100	0	0	0	6152	1055622	335.600	6715	Error	"Not Defined"	"Positive 3"
1	7	1	"neg"	"neg"	7790	39540	120	43	49	24	50	52	50	20	10	4	0	0.000	0.000	0.000	-7	-1	7	0.000	0.000	0.000	0.000	48	38	120	756	100	-50	0	0	-7	5876	-0.150	-1	Error	"Not Defined"	"neg"
1	8	1	"neg"	"neg"	8190	39540	120	45	49	21	50	52	50	18	15	6	0	0.000	0.000	0.000	-5	-1	8	0.000	0.000	0.000	0.000	42	34	120	756	100	-50	0	0	-5	5885	-0.167	-1	Error	"Not Defined"	"neg"
1	9	1	"6Ckine "	"6Ckine "	8560	39540	150	131	136	41	49	51	49	19	95	89	0	0.000	0.000	0.000	82	87	9	0.000	0.000	0.000	0.000	30	37	156	1080	100	0	0	0	82	21161	4.474	87	Error	"Not Defined"	"6Ckine "
1	10	1	"6Ckine "	"6Ckine "	8960	39540	160	134	137	46	49	51	49	19	92	85	0	0.000	0.000	0.000	85	88	10	0.000	0.000	0.000	0.000	33	37	208	1234	100	0	0	0	85	28444	4.526	88	Error	"Not Defined"	"6Ckine "
1	11	1	"Activin A "	"Activin A "	9380	39530	150	175	177	50	51	52	51	19	100	98	0	0.000	0.000	0.000	124	126	11	0.000	0.000	0.000	0.000	28	36	156	1046	100	0	0	0	124	27646	6.579	126	Error	"Not Defined"	"Activin A "
1	12	1	"Activin A "	"Activin A "	9790	39530	150	159	165	50	53	55	53	20	98	92	0	0.000	0.000	0.000	106	112	12	0.000	0.000	0.000	0.000	30	36	156	1046	100	0	0	0	106	25692	5.500	112	Error	"Not Defined"	"Activin A "
1	13	1	"Activin C"	"Activin C"	10240	39540	150	115	117	36	52	54	52	18	94	77	0	0.000	0.000	0.000	63	65	13	0.000	0.000	0.000	0.000	30	33	156	1080	100	0	0	0	63	18316	3.500	65	Error	"Not Defined"	"Activin C"
1	14	1	"Activin C"	"Activin C"	10640	39540	160	108	109	39	53	54	53	18	81	68	0	0.000	0.000	0.000	55	56	14	0.000	0.000	0.000	0.000	35	33	208	1218	100	0	0	0	55	22568	3.056	56	Error	"Not Defined"	"Activin C"
1	15	1	"Activin RIB / ALK-4"	"Activin RIB / ALK-4"	10960	39540	160	123	126	35	53	55	53	19	95	85	0	0.000	0.000	0.000	70	73	15	0.000	0.000	0.000	0.000	27	34	208	1218	100	0	0	0	70	26152	3.737	73	Error	"Not Defined"	"Activin RIB / ALK-4"
