ATF	1.0
29	43    
"Type=GenePix Export 3"
"DateTime=2025/02/10 15:57:03"
"Settings=E:\Conboy\2025-02-10\settings\S5-8.93.S6.480.33.Settings.gps"
"GalFile=C:\Documents and Settings\Misha\Desktop\Etsuko_Mice_Array.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=E:\Conboy\2025-02-10\image\s5-8.93.s6.Gain480Power33.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (#1/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=5240, 21320"
"Creator=GenePix Pro 6.1.0.4"
"Scanner=GenePix 4000B [133411]"
"FocusPosition=0"
"Temperature=28.4936"
"LinesAveraged=1"
"Comment="
"PMTGain=480"
"ScanPower=33"
"LaserPower=3.34594"
"Filters=<Empty>"
"ScanRegion=524,2132,1632,3040"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (#1/532)"	"Ratio of Means (#1/532)"	"Median of Ratios (#1/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"Mean of Ratios (#1/532)"	"Ratios SD (#1/532)"	"Rgn Ratio (#1/532)"	"Rgn R2 (#1/532)"	"F532 CV"	"B532 CV"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (#1/532)"	"F532 Total Intensity"	"SNR 532"	"Sum of Means (#1/532)"	"Log Ratio (#1/532)"	"Accession"	"Symbol"
1	1	1	"Positive 1"	"Positive 1"	5400	21470	150	11458	11725	3280	133	136	133	42	100	100	0	0.000	0.000	0.000	11325	11592	1	0.000	0.000	0.000	0.000	27	30	156	988	100	0	0	0	11325	1829067	275.929	11592	Error	"Not Defined"	"Positive 1"
1	2	1	"Positive 1"	"Positive 1"	5800	21470	150	15479	13890	3475	126	128	126	38	100	100	0	0.000	0.000	0.000	15353	13764	2	0.000	0.000	0.000	0.000	25	29	156	1114	100	0	0	0	15353	2166838	362.158	13764	Error	"Not Defined"	"Positive 1"
1	3	1	"Positive 2"	"Positive 2"	6210	21460	160	3065	3369	1279	122	123	122	37	99	99	0	0.000	0.000	0.000	2943	3247	3	0.000	0.000	0.000	0.000	37	30	208	1234	100	0	0	0	2943	700754	87.730	3247	Error	"Not Defined"	"Positive 2"
1	4	1	"Positive 2"	"Positive 2"	6610	21460	160	3557	3812	1558	119	120	119	35	100	100	0	0.000	0.000	0.000	3438	3693	4	0.000	0.000	0.000	0.000	40	29	208	1234	100	0	0	0	3438	792966	105.486	3693	Error	"Not Defined"	"Positive 2"
1	5	1	"Positive 3"	"Positive 3"	6960	21470	150	5421	5636	1752	118	127	118	91	100	100	0	0.000	0.000	0.000	5303	5518	5	0.000	0.000	0.000	0.000	31	71	156	1114	100	0	0	0	5303	879213	60.538	5518	Error	"Not Defined"	"Positive 3"
1	6	1	"Positive 3"	"Positive 3"	7360	21470	150	6145	6533	2352	115	118	115	37	100	100	0	0.000	0.000	0.000	6030	6418	6	0.000	0.000	0.000	0.000	36	31	156	1114	100	0	0	0	6030	1019143	173.378	6418	Error	"Not Defined"	"Positive 3"
1	7	1	"neg"	"neg"	7780	21460	120	76	82	40	113	115	113	37	1	0	0	0.000	0.000	0.000	-37	-31	7	0.000	0.000	0.000	0.000	48	32	120	756	100	-50	0	0	-37	9841	-0.892	-31	Error	"Not Defined"	"neg"
1	8	1	"neg"	"neg"	8180	21460	120	74	79	29	109	113	109	36	4	0	0	0.000	0.000	0.000	-35	-30	8	0.000	0.000	0.000	0.000	36	31	120	756	100	-50	0	0	-35	9456	-0.944	-30	Error	"Not Defined"	"neg"
1	9	1	"6Ckine "	"6Ckine "	8550	21470	150	165	169	55	115	117	115	36	60	34	0	0.000	0.000	0.000	50	54	9	0.000	0.000	0.000	0.000	32	30	156	1114	100	0	0	0	50	26293	1.444	54	Error	"Not Defined"	"6Ckine "
1	10	1	"6Ckine "	"6Ckine "	8950	21470	160	184	184	52	114	116	114	36	72	45	0	0.000	0.000	0.000	70	70	10	0.000	0.000	0.000	0.000	28	31	208	1272	100	0	0	0	70	38358	1.889	70	Error	"Not Defined"	"6Ckine "
