ATF	1.0
29	43    
"Type=GenePix Export 3"
"DateTime=2025/02/11 16:06:15"
"Settings=E:\Conboy\2025-02-10\settings\S13-16.4.S16.480.33.Settings.gps"
"GalFile=C:\Documents and Settings\Misha\Desktop\Etsuko_Mice_Array.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=E:\Conboy\2025-02-10\image\s13-16.4.s16.Gain480Power33.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (#1/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=5280, 56960"
"Creator=GenePix Pro 6.1.0.4"
"Scanner=GenePix 4000B [133411]"
"FocusPosition=0"
"Temperature=28.5852"
"LinesAveraged=1"
"Comment="
"PMTGain=480"
"ScanPower=33"
"LaserPower=3.29692"
"Filters=<Empty>"
"ScanRegion=528,5696,1636,6604"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (#1/532)"	"Ratio of Means (#1/532)"	"Median of Ratios (#1/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"Mean of Ratios (#1/532)"	"Ratios SD (#1/532)"	"Rgn Ratio (#1/532)"	"Rgn R2 (#1/532)"	"F532 CV"	"B532 CV"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (#1/532)"	"F532 Total Intensity"	"SNR 532"	"Sum of Means (#1/532)"	"Log Ratio (#1/532)"	"Accession"	"Symbol"
1	1	1	"Positive 1"	"Positive 1"	5410	57130	140	11776	12570	5120	95	114	95	253	98	98	0	0.000	0.000	0.000	11681	12475	1	0.000	0.000	0.000	0.000	40	221	156	884	100	0	0	0	11681	1960845	49.233	12475	Error	"Not Defined"	"Positive 1"
1	2	1	"Positive 1"	"Positive 1"	5810	57120	140	8170	12165	10269	87	95	87	98	94	94	0	0.000	0.000	0.000	8083	12078	2	0.000	0.000	0.000	0.000	84	103	156	1044	100	0	0	0	8083	1897695	123.163	12078	Error	"Not Defined"	"Positive 1"
1	3	1	"Positive 2"	"Positive 2"	6230	57110	150	2776	3792	2883	90	95	90	38	100	100	0	0.000	0.000	0.000	2686	3702	3	0.000	0.000	0.000	0.000	76	40	156	1114	100	0	0	0	2686	591597	97.289	3702	Error	"Not Defined"	"Positive 2"
1	4	1	"Positive 2"	"Positive 2"	6640	57100	150	3080	3958	2897	105	111	105	46	100	100	0	0.000	0.000	0.000	2975	3853	4	0.000	0.000	0.000	0.000	73	41	156	1080	100	0	0	0	2975	617504	83.630	3853	Error	"Not Defined"	"Positive 2"
1	5	1	"Positive 3"	"Positive 3"	6990	57120	140	3918	5818	5195	113	121	113	51	97	96	0	0.000	0.000	0.000	3805	5705	5	0.000	0.000	0.000	0.000	89	42	156	1044	100	0	0	0	3805	907589	111.706	5705	Error	"Not Defined"	"Positive 3"
1	6	1	"Positive 3"	"Positive 3"	7380	57120	150	6557	7080	3462	94	98	94	33	100	100	0	0.000	0.000	0.000	6463	6986	6	0.000	0.000	0.000	0.000	48	33	156	1146	100	0	0	0	6463	1104402	211.576	6986	Error	"Not Defined"	"Positive 3"
1	7	1	"neg"	"neg"	7790	57120	120	66	94	133	88	124	88	912	0	0	0	0.000	0.000	0.000	-22	6	7	0.000	0.000	0.000	0.000	141	735	120	796	100	-50	0	0	-22	11247	-0.033	6	Error	"Not Defined"	"neg"
1	8	1	"neg"	"neg"	8190	57120	120	80	91	48	92	96	92	34	14	5	0	0.000	0.000	0.000	-12	-1	8	0.000	0.000	0.000	0.000	52	35	120	796	100	-50	0	0	-12	10952	-0.147	-1	Error	"Not Defined"	"neg"
1	9	1	"6Ckine "	"6Ckine "	8570	57130	140	260	256	71	94	96	94	37	94	89	0	0.000	0.000	0.000	166	162	9	0.000	0.000	0.000	0.000	27	38	156	1070	100	0	0	0	166	39863	4.324	162	Error	"Not Defined"	"6Ckine "
1	10	1	"6Ckine "	"6Ckine "	8970	57130	150	221	224	64	87	90	87	30	96	89	0	0.000	0.000	0.000	134	137	10	0.000	0.000	0.000	0.000	28	33	156	1176	100	0	0	0	134	34927	4.467	137	Error	"Not Defined"	"6Ckine "
